ID,Submission ID short,image,imagefilename,BG,LG
1,886906,,5688690623512459425_base64_26_1693059863.jpeg,47.25422,11.40644
2,887376,,5688737574643677199_base64_26_1693064557.jpeg,47.25946,11.41484
3,887382,,5688738243513286124_base64_26_1693064624.jpeg,47.25507,11.40878
4,887400,,5688739964642373421_base64_26_1693064796.jpeg,47.25946,11.41484
5,887411,,5688741144646495750_base64_26_1693064914.jpeg,47.25946,11.41484
6,887428,,5688742794643865680_base64_26_1693065079.jpeg,47.25949,11.41484
7,887432,,5688743183518666743_base64_26_1693065118.jpeg,47.2596,11.41567
8,887439,,5688743934642511341_base64_26_1693065193.jpeg,47.2598,11.41477
9,887455,,5688745494646367604_base64_26_1693065349.jpeg,47.25993,11.41462
10,887471,,5688747144647112473_base64_26_1693065514.jpeg,47.26047,11.41418
